,GSM476089,GSM476090,GSM476091,GSM476092,GSM1519986,GSM1519987,GSM1519988,GSM1519989,GSM1519990,GSM1519991,GSM1519992,GSM1519993,GSM1519994,GSM1519995,GSM1519996
COX18,12.00983646,11.92914855,12.09127549,12.09121012,1.4169,1.3399,1.2956,1.3485,0.9684,1.5244,1.921,2.0752,1.9775,2.1334,1.5583
COX4,14.20023647,14.1153768,14.21203039,14.17816457,12.1584,8.5084,12.0099,8.8043,8.2485,11.055,13.7073,10.0656,10.8487,10.5048,10.343
COX6,14.2328103,14.16441747,14.28036234,14.12066692,8.4529,7.7609,7.0823,7.0071,5.3268,6.7661,7.6873,6.4136,5.8304,6.7943,7.2542
COX8,13.99915235,13.95076835,14.01639557,13.84181764,6.0257,4.892,4.7664,4.3222,3.6519,5.7428,5.9856,4.3236,4.7122,5.3094,4.8551
COX9,14.38090954,14.29343277,14.284861,14.1801575,12.6173,11.3327,11.9746,10.4426,9.533,12.5864,13.0331,10.257,11.3724,11.5971,11.0523
CPD1,10.89370054,10.74171634,10.85299049,10.97601758,3.4678,3.6606,2.7819,2.8937,2.1461,1.3145,1.4509,3.0069,3.0113,3.7952,4.5063
CRM1,12.74908895,12.55926308,12.7663686,12.67921598,3.8999,3.9711,3.619,3.7414,4.581,2.8656,2.8699,3.5448,3.8029,2.7528,3.9963
CSL4,11.65212003,11.69100571,11.78954719,11.75192346,5.1969,4.8762,4.2889,3.9914,2.7654,2.6958,3.146,2.9217,3.9104,4.6005,4.2349
CTF18,8.376521263,8.603332828,8.581436914,8.481523724,1.0223,1.0192,0.7622,0.8818,1.0176,0.7245,0.7583,0.793,0.7333,0.9452,1.069
CTI6,13.22563946,13.27962947,13.19481559,13.12353492,0.7915,0.7232,0.7859,0.6515,0.6116,0.7049,0.9932,0.8196,0.7327,0.642,0.755
CTP1,11.82429909,11.86946669,11.93060889,11.89153713,2.0189,2.4795,2.2006,2.5063,3.9152,4.1859,4.7042,3.4943,2.2818,2.4955,3.2732
CTT1,13.56586852,13.78948819,13.52128384,13.19784117,1.8112,14.9517,17.675,18.3244,26.4056,23.2596,20.7136,14.524,8.0283,2.1514,2.067
CWP1,11.64611428,11.39412288,11.71633486,11.67151252,3.2079,3.0411,3.335,3.2518,2.8392,2.6802,2.9052,2.9547,3.1602,3.4424,3.2816
CYC1,15.02172714,15.20896092,15.0811832,15.05257765,20.1171,17.3546,21.5714,16.7675,16.0458,12.8455,13.265,14.3311,13.3262,14.7756,19.3791
CYK3,11.24163277,10.94412576,10.8674131,11.38348021,1.0827,0.7973,1.1775,1.0717,1.0901,1.175,1.274,1.1841,0.9536,0.7733,1.1018
CYR1,12.92027454,12.77915417,12.87002641,12.28984667,1.1954,1.3438,1.1769,1.5263,2.0502,1.7484,1.6165,1.6968,1.1344,0.9823,1.4217
CYT1,13.61622658,13.5499674,13.58069968,13.40774238,6.0632,2.7134,5.5149,2.7947,3.4566,3.8748,3.3933,2.7103,4.0498,4.2756,5.5293
DAD1,13.48392586,13.43693787,13.4243335,13.31196796,5.683,5.2918,5.967,5.377,5.7079,9.3929,9.6007,5.7504,6.7129,5.4801,4.5015
DAD2,10.27393937,10.29221558,10.25242375,9.643217842,0.4661,0.4445,0.3464,0.3482,0.3503,0.503,0.6774,0.7033,0.6533,0.5766,0.5506
DAD3,8.903533649,8.725447061,9.032688745,8.708223261,0.3082,0.4006,0.1562,0.2881,0.3082,0.3851,0.4798,0.5202,0.3831,0.4128,0.4186
DAK2,9.153726952,9.737185974,9.212366021,10.1463549,0.8678,1.3381,0.7795,1.4209,1.0934,0.7529,0.8953,1.7693,1.0999,0.7489,1.2909
DAM1,11.67559779,11.54645361,11.26665239,11.42224595,1.1275,1.3445,1.3097,1.5354,1.3223,1.1523,1.1579,1.0284,0.8438,0.9897,0.9707
DAP1,11.73985291,11.71492097,11.59959089,11.22275363,3.1126,2.7086,3.5158,3.4155,3.3725,4.6861,4.566,2.5487,2.6282,2.6547,2.8426
DBP10,8.927260925,9.678562583,9.632313708,9.018331181,2.2592,2.8614,1.7016,1.7042,1.3243,0.6962,0.8108,1.3952,1.5727,1.7734,2.4442
DBP2,11.82149737,12.66853355,12.35550069,12.02797831,8.078,6.3093,4.3162,3.2547,1.8424,1.0078,0.9912,2.1673,4.2916,9.8907,8.9181
DBP3,9.203236897,10.2243356,10.13842475,9.520848001,6.932,5.4737,2.7157,1.8943,1.571,0.8516,1.085,2.3444,3.5547,5.3475,6.4878
DBP7,5.387361813,5.396999027,5.588209262,4.728468436,0.9536,0.8806,0.4901,0.5054,0.6097,0.3017,0.3713,0.5925,0.7118,0.9976,1.2591
DBP8,5.738553796,6.443149213,6.891669777,6.687863819,1.5148,1.2329,0.8583,0.7595,0.5431,0.4969,0.7468,1.5002,1.2934,1.8097,2.1844
