ID,adj.P.Val,P.Value,t,B,logFC,Gene Symbol
1775133_at,0.423934304816749,0.0973326473998192,-1.94587808696083,-8.70968760826702,-0.240701662499999,SNX4
1771076_at,0.42608574561612,0.0978655949392809,-1.94201641851325,-8.71512454401011,-0.091518279999999,MNP1
1779490_at,0.427506716454019,0.0982684306157056,-1.93911139051881,-8.71921281577315,-0.0993404449999993,SML1
1776709_at,0.427506716454019,0.0983134504951735,1.93878746859778,-8.71966857838001,0.240144554999999,ERO1
1778296_at,0.427506716454019,0.0983790222913298,-1.93831593780762,-8.7203319943206,-0.514632969250002,CSI2
1773866_at,0.427590075648584,0.0984458849132356,-1.93783544650752,-8.72100797519971,-0.142129675,PET123
1771726_at,0.428167146661926,0.0986868917286207,-1.9361062022662,-8.72344041725032,-0.2412971185,SPC1
1772533_at,0.428167146661926,0.0987209160188343,-1.93586241357798,-8.72378329839392,-0.169058700000003,TBF1
1771521_at,0.428182143406956,0.0988552975630125,-1.93490036764002,-8.72513627873904,-0.062908052500001,KTR1
1769870_at,0.428182143406956,0.0988892630958549,1.93465741218122,-8.7254779338702,0.164954007499999,ECM38
1778364_at,0.428205884089973,0.0989969407756705,-1.9338877419505,-8.72656020738128,-0.419635647999999,PPM2
1774930_at,0.428205884089973,0.0990578765537566,1.93345254736049,-8.72717210863882,0.0509835500000015,THR4
1778216_at,0.428696229383909,0.0992424141603994,-1.93213622816098,-8.72902269282208,-0.213481325,USO1
1771911_at,0.428696229383909,0.0992497676007768,1.93208382600806,-8.72909635718749,0.255168802500002,RPL20A
1771095_at,0.43002233819588,0.0996693563692179,1.92910012420976,-8.73328985328198,0.115255164999999,RGR1
1773153_at,0.43002233819588,0.0996741348440858,1.92906621635759,-8.73333750010256,0.120317907499999,LYS14
1776299_at,0.43002233819588,0.0996748336978554,-1.92906125745671,-8.73334446825988,-0.0814269875000022,NPY1
1770429_at,0.430383567361332,0.0997979465312607,1.92818821670498,-8.73457117736916,0.1523482425,MSB4
1779296_at,0.431410356900618,0.100075517454527,-1.92622377396103,-8.73733089107004,-0.217194634250001,SLI1
1777639_at,0.432229867755724,0.100305174288847,1.92460251981795,-8.73960793404601,0.567822766250002,PPT1
1776210_at,0.43231943607287,0.100365520618308,-1.92417711881988,-8.74020532518954,-0.0803055250000018,VOA1
1778867_at,0.432714024571439,0.100569641851645,-1.92274008210536,-8.74222310384472,-0.0932671324999994,SWD2
1774787_at,0.432714024571439,0.100575917131356,-1.92269594932991,-8.74228506555518,-0.125727555000001,TRI1
1775975_at,0.433543520481125,0.100808389965459,1.92106293879835,-8.74457752554638,0.0982878100000022,MMT2
1770193_at,0.433739449339484,0.100923747914909,-1.92025399188648,-8.74571295658265,-0.182302497499998,SGS1
1773842_at,0.433739449339484,0.100933329032788,1.92018684564909,-8.74580719685325,0.23305736,SOK2
1769698_at,0.434203976104029,0.101100904862299,-1.91901346540983,-8.74745390595115,-0.120223097249999,TAF7
1775012_at,0.434203976104029,0.101120893043993,-1.91887363534904,-8.74765012435469,-0.162839470000002,KIP3
1775492_at,0.435077822042994,0.101443840644725,1.91661820543545,-8.75081456777006,0.0867155625000002,NAT1
1772279_at,0.435330684937592,0.101542635057277,-1.91592965943871,-8.75178042566962,-0.0438328524999996,HOR7
1778381_at,0.435495250942735,0.101620872062955,1.91538485939936,-8.75254457908592,0.253297245,DUS4
1771966_at,0.43712811419709,0.102041894154171,1.91246021595703,-8.75664579240199,0.0915998525000017,CNE1
