,GSM1519986,GSM1519987,GSM1519988,GSM1519989,GSM1519990,GSM1519991,GSM1519992,GSM1519993,GSM1519994,GSM1519995,GSM1519996
klf1,0.7656,0.936,0.7189,0.8336,1.2211,0.8468,0.7774,0.8833,0.7311,0.7578,1.0857
klp2,0.5887,0.5614,0.6133,0.6454,0.6797,0.5456,0.6174,0.554,0.485,0.4924,0.5581
klp3,0.8843,0.5912,0.7762,0.6259,0.7835,0.9434,1.0023,0.6841,1.0711,0.8469,0.6501
klp5,1.9217,1.86,1.6182,1.6345,1.9849,1.4897,1.5715,1.3125,1.8141,1.581,1.933
klp6,0.5322,0.4721,0.3203,0.3237,0.2972,0.2129,0.2724,0.489,0.5502,0.5447,0.6029
klp8,0.8698,0.7312,0.7424,0.7132,0.6944,0.5733,0.6523,0.5426,0.9288,0.7048,0.876
klp9,0.462,0.5603,0.6438,0.7081,0.8987,0.6229,0.5623,0.3318,0.4736,0.2782,0.442
kms1,0.5294,0.4304,0.633,0.4814,0.6563,0.7669,0.6338,0.4185,0.5941,0.4813,0.4564
kms2,0.426,0.2558,0.3188,0.3153,0.3209,0.2467,0.2654,0.2314,0.3488,0.332,0.2884
kpa1,3.7693,4.5357,3.7069,5.1625,6.9901,6.7818,7.565,7.9739,7.4106,7.8942,8.7396
krp1,1.3719,1.1709,0.9776,1.0092,1.1603,0.7295,0.7196,1.0335,1.1402,0.9469,1.4896
krs1,8.6147,6.931,8.0916,6.431,7.238,5.4126,4.209,5.6571,7.8375,5.6932,8.104
ksg1,0.5243,0.6093,0.4308,0.5154,0.9499,0.5026,0.3852,0.3602,0.5141,0.4769,0.5336
ksp1,2.9376,3.1307,3.7272,4.186,5.3735,4.8991,4.3459,3.9663,3.6218,2.1918,3.0819
lac1,6.1077,3.6719,5.3512,4.1108,3.7815,4.0673,4.1848,4.4672,4.9498,6.1271,5.8469
laf1,1.2772,0.7031,0.5873,0.5255,0.8179,0.4397,0.5132,0.7077,1.0675,1.3391,1.0193
laf2,2.2357,1.4562,1.4926,1.296,0.9202,0.8185,1.0855,1.8835,2.0842,3.1171,3.2856
lag1,2.8425,2.1423,2.384,2.2378,2.0132,1.3419,1.3951,1.4307,2.7208,2.2461,1.8086
lat1,7.1285,9.3416,7.2228,8.6514,10.9665,8.2853,7.5774,8.2162,8.2181,6.0955,7.6506
lcb2,2.6123,2.5583,2.7223,2.4735,3.1483,2.6473,2.2316,2.1644,2.395,1.8668,2.7646
lcf1,5.1319,4.5985,6.4659,5.3069,7.1809,6.2782,5.9805,6.2997,7.2731,4.6008,5.7174
lcf2,4.6442,5.1645,4.8285,5.8367,6.5535,4.5947,4.3395,5.614,6.0304,3.8412,5.1396
lea1,6.7658,6.1448,6.4553,6.1683,4.6749,4.2231,5.1732,5.3803,5.6645,6.5376,6.1303
lem2,0.9832,0.9956,1.0026,1.1914,1.2328,0.8793,0.8908,0.8666,0.9141,0.7987,0.9175
leu1,12.1916,14.4251,11.5637,14.197,12.9604,11.3249,11.3729,16.0707,13.0902,12.4307,15.8601
leu2,9.9383,10.6609,9.6703,9.8398,9.3002,6.6521,7.0955,10.7291,12.4773,8.9592,10.2983
leu3,8.3377,8.2522,8.8817,8.2016,10.9277,10.5426,9.6596,11.7293,12.1979,7.1832,9.5453
lid2,2.1685,1.7118,1.9602,1.7389,2.0502,1.4247,1.574,1.3591,1.8076,1.6942,1.9402
lig4,0.4412,0.3734,0.4282,0.3613,0.4594,0.443,0.5657,0.4063,0.4929,0.3949,0.3975
lip5,2.6415,2.3529,2.1532,2.1387,1.2122,0.9637,1.5497,2.952,2.8975,3.0106,2.9073
liz1,1.0422,1.0898,1.0621,1.1552,1.8,1.4089,1.2469,1.3077,1.4625,0.8795,0.879
lkh1,1.3147,1.0262,0.6719,0.6841,0.7102,0.8122,0.9821,1.299,0.9737,1.0482,1.4545
lon1,3.415,3.599,3.4348,3.3574,4.4548,4.3188,4.079,3.8103,3.6077,3.205,3.4913
los1,2.6652,2.6133,1.9445,1.8008,1.7189,0.8543,0.9979,1.5367,1.8152,1.9655,2.3882
lrs1,9.3155,9.4811,8.7093,9.2343,9.8045,8.72,8.132,8.0193,8.9328,7.0392,9.2365
lsb5,2.3506,1.8757,2.7116,2.7258,2.8861,3.6328,3.7084,3.942,2.9654,3.1661,3.2138
lsb6,0.2388,0.2319,0.2134,0.259,0.3901,0.2665,0.2671,0.259,0.2557,0.1969,0.2723
lsc1,1.6772,1.9269,1.4438,1.8041,1.6513,1.4926,1.6704,2.6725,1.8639,2.4156,2.8705
lsd1,1.0364,1.0233,1.0498,1.1238,1.2852,1.3029,1.296,1.0058,0.9415,0.7952,0.92
lsd2,0.9354,0.9014,0.7612,0.8976,1.1766,1.106,1.3377,0.9675,0.923,0.7026,0.7767
lsd90,0.1887,0.9268,4.0497,4.6258,9.9755,16.8099,16.3462,6.7319,3.5805,0.7997,0.5913
lsg1,2.6869,3.5265,2.0566,2.7283,1.6401,1.2214,1.4422,2.0474,2.3715,3.025,3.0798
lsh1,4.2754,4.466,4.1256,4.6834,5.4178,4.9444,5.0708,4.0249,4.9591,4.1629,4.1678
lsk1,0.8904,0.7739,0.7331,0.9059,1.445,0.795,0.7919,0.9333,0.9114,0.8392,1.1669
lsm1,5.0944,5.7011,4.563,5.9756,4.9446,3.6874,4.2151,4.8257,4.7945,5.0968,5.335
lsm2,7.1882,7.7242,6.5682,6.795,6.5562,7.199,7.2619,7.3161,7.4563,7.8957,7.3924
lsm3,3.4843,3.8319,3.0111,3.1968,2.7298,2.701,2.8133,2.6832,3.0035,3.4194,3.2988
lsm4,8.1836,8.002,8.0459,7.5212,6.8475,6.6028,7.5721,7.3384,7.3523,7.3249,8.4015
lsm5,3.0946,4.2101,2.7135,3.1394,2.6425,2.5489,2.9815,2.8958,3.0733,3.8318,2.9671
lsm6,7.5183,8.3825,5.846,6.393,5.5724,6.8422,6.232,6.5801,7.0524,7.0458,6.7389
lsm7,7.978,8.6723,6.6526,7.8579,7.1034,6.7731,7.4339,8.1145,8.4215,9.1742,8.7803
lsm8,0.1763,0.0976,0.1256,0.0675,0.1277,0.1552,0.1134,0.047,0.1726,0.0716,0.0465
lub1,2.583,2.3894,3.1775,2.7317,2.8864,2.5806,2.6094,2.9715,3.2466,2.5226,2.5629
lvs1,1.3218,1.555,1.2308,1.513,1.9983,1.3247,1.1673,1.2421,1.1884,0.9101,1.3272
lys1,4.0701,4.1919,3.9118,4.6974,7.172,5.7758,5.3642,5.5242,6.4818,3.9365,4.3636
lys2,5.5447,5.7876,5.1815,4.485,4.6475,3.3426,3.02,4.1224,5.5759,4.7293,5.9681
lys3,10.3072,8.3433,10.1852,9.9401,17.5414,14.1447,13.5165,14.9703,14.8765,13.0286,11.8405
lys4,15.1228,10.1115,15.3117,13.3255,25.073,19.8784,15.2455,12.8098,18.3993,13.4242,10.8352
lys7,0.545,0.8218,0.4956,0.5892,0.4415,0.4138,0.4235,0.8318,0.6322,0.8874,0.8034
mac1,2.4107,2.2705,1.4201,1.7933,1.2239,0.6279,0.6665,1.3519,1.692,1.6992,2.6567
mad1,0.8218,0.7693,0.7825,0.6969,0.6395,0.7256,0.752,0.6094,0.861,0.9207,0.6624
mad2,1.0672,1.0089,0.9574,0.9624,0.8462,0.9512,1.0724,1.0096,1.2268,1.146,0.9948
mad3,0.8632,0.6161,0.983,0.9507,1.0056,0.9418,1.0528,1.2606,1.125,1.2499,1.202
mae1,6.5425,2.6377,5.97025,2.3294,2.4805,4.0857,4.99805,4.0483,6.9272,4.9421,4.30375
mae2,12.9334,17.0465,13.8262,20.4401,29.6442,21.0226,17.4678,20.5184,19.2284,16.2253,17.9122
maf1,0.6419,0.725,1.0384,0.8733,0.939,1.1246,1.0136,0.8146,0.6296,0.6763,0.6104
mag1,1.1271,1.3647,1.6503,1.6202,1.5318,2.2069,2.7477,1.3759,1.3067,1.0911,0.9538
mag2,0.2032,0.2339,0.7921,0.6862,1.0348,3.4753,4.4157,0.9939,0.8744,0.4778,0.258
mak1,2.674,2.7177,2.6354,2.7661,3.5541,3.8047,3.5788,2.5191,2.7848,2.6458,2.3847
mak10,1.2009,1.1207,0.9688,0.9388,1.1603,0.8755,0.8086,0.7612,1.1501,1.0846,1.2917
mak16,4.3365,5.0764,2.4957,2.4325,1.6311,1.1744,1.8051,2.6638,2.8292,4.4276,5.0966
mak2,2.0106,1.926,1.7523,1.9667,2.6471,2.6145,2.2371,2.0656,2.0353,1.7108,1.9401
mak3,1.0864,1.2358,0.9741,1.1758,1.5031,1.1314,1.0111,1.0805,0.9916,0.9049,1.0762
mal1,1.1174,1.1678,1.167,1.1625,1.9224,2.4392,2.1978,1.3979,1.3518,0.8822,1.116
mal2,0.9028,1.1596,0.7431,0.9627,1.107,1.0752,0.9812,1.5561,1.3534,1.9759,1.7898
mal3,2.3664,1.7739,2.3912,1.9199,2.0521,1.8488,1.8397,2.1813,1.9949,2.0281,3.065
mam1,0.5625,0.7809,0.6287,0.7443,0.904,0.8193,0.8326,0.5787,0.5857,0.5086,0.4626
mam2,0.241,0.3963,0.2114,0.328,0.2949,0.285,0.2585,0.2053,0.2326,0.3656,0.1502
mam3,0.555,0.7424,0.4542,0.5109,0.6767,0.4967,0.5412,0.5737,0.4466,0.3944,0.594
mam4,4.3838,3.7485,3.6113,3.1298,1.5294,1.3995,1.8697,3.2159,3.238,4.5254,5.0562
man1,0.9779,1.0564,1.1931,1.3516,1.6426,1.5232,1.2895,1.1665,0.9846,0.7588,1.0079
map1,0.1148,0.155,0.2105,0.1765,0.272,0.2986,0.3456,0.1474,0.1767,0.1612,0.164
map2,0.1491,0.2217,0.1308,0.224,0.1785,0.0855,0.0736,0.143,0.1004,0.1612,0.1842
map3,0.3478,0.3195,0.3636,0.3864,0.4796,0.3389,0.3229,0.3289,0.4727,0.3269,0.4109
map4,0.5762,0.81,0.5138,0.5872,0.7196,0.5695,0.564,0.6807,0.5969,0.6442,0.7703
mas2,2.3916,1.8895,2.2625,2.0209,2.267,2.47,2.4358,1.9634,2.0786,2.1796,2.579
mas5,10.0861,10.0454,10.6178,9.33,6.8345,3.6478,3.9185,9.2555,9.326,6.9681,11.002
mat3-m///mat1-m,0.0181,0.0315,0.0153,0.0171,0.0073,0.015,0.0162,0.0108,0.0104,0.0151,0.0079
matmc_1///matmc_2,2.4983,0.5162,2.943,0.5809,0.2554,1.062,2.1925,0.9119,2.0855,1.3767,0.9567
mbx1,1.1849,1.0606,0.8359,0.9155,0.6566,0.5252,0.6325,0.8443,0.9213,1.0713,1.1742
mbx2,0.0897,0.1307,0.0612,0.0606,0.1188,0.0692,0.063,0.1236,0.1155,0.1511,0.203
mcb1,0.6499,0.8655,0.4995,0.6249,1.1281,0.7281,0.7717,0.7419,0.8659,0.7594,0.6455
mcl1,1.0767,1.0589,0.9582,1.0872,1.3132,0.9745,0.9246,1.0353,0.9869,0.9728,1.1952
mcm2,0.9529,1.1296,0.6702,0.9002,1.2604,0.7671,0.7108,1.2,0.9741,0.872,1.2572
mcm3,2.0076,2.0351,1.8364,1.8784,1.7755,1.2871,1.2042,1.7513,1.9559,2.117,2.6002
mcm4,1.4873,1.449,0.9906,0.9983,1.0289,0.6554,0.701,1.0998,1.2195,1.189,1.5593
mcm5,1.2358,1.0661,1.0332,0.9639,1.1566,0.9759,1.0305,1.1885,1.2039,1.2403,1.4459
mcm6,0.6507,0.7452,0.4285,0.5264,0.5264,0.4721,0.4914,0.7364,0.6861,0.5625,0.7384
mcm7,3.0186,2.954,2.8411,2.7131,2.4009,2.7747,2.8627,3.1428,3.2552,2.6588,3.4679
mcp1,1.5289,1.3959,1.161,1.0701,0.8973,0.7132,0.8079,1.0616,1.3387,1.482,1.6505
mcp3,0.0615,0.129,0.0474,0.1169,0.0856,0.0343,0.0682,0.063,0.0694,0.0665,0.0441
mcp4,0.2821,0.2686,0.2357,0.2726,0.3236,0.1288,0.1798,0.177,0.2466,0.3405,0.319
mcp5,0.176,0.1804,0.1526,0.1699,0.176,0.1182,0.1791,0.1598,0.1919,0.19,0.1161
mcp6,0.1816,0.1695,0.1549,0.1704,0.1241,0.1115,0.1897,0.1667,0.1921,0.2118,0.2009
mcp60,11.406,11.7229,11.8903,10.5294,8.3141,5.985,6.1255,10.933,12.2949,8.8498,11.6539
mcp7,1.3377,0.8284,0.9682,0.8894,1.1448,1.9968,2.6182,2.0823,2.1289,1.8537,1.462
mcs2,2.7807,1.5934,2.7618,1.9134,2.3674,2.9497,3.4171,2.5321,3.0365,3.1027,2.8045
mcs4,1.3322,0.8734,1.1803,1.0816,1.3729,1.076,1.0917,0.851,0.9747,0.8162,1.02
mcs6,0.8868,0.6243,0.8505,0.6092,0.9622,0.6147,0.6409,0.7087,0.7835,0.7025,0.7479
mdb1,0.732,0.6269,0.7723,0.7563,0.9059,0.8101,0.7688,0.6645,0.9587,0.5897,0.6992
mde1,0.1099,0.1683,0.1033,0.1576,0.1262,0.0713,0.0984,0.1131,0.137,0.1544,0.1202
mde10,1.229,1.0995,0.9438,0.9473,1.3262,1.0595,1.1104,1.2389,1.0504,1.1165,1.3684
mde2,0.096,0.2076,0.0805,0.1508,0.1517,0.097,0.0952,0.074,0.1246,0.133,0.0961
mde3,0.0526,0.0982,0.0602,0.0743,0.0796,0.0573,0.0608,0.0457,0.0521,0.0671,0.0461
mde4,1.6281,1.7119,1.4755,1.6637,1.6598,1.4146,1.4129,1.6213,1.6971,1.8632,1.9423
mde5,0.0993,0.1736,0.1268,0.1605,0.1816,0.1326,0.12,0.1231,0.1341,0.1268,0.1467
mde6,0.3292,0.3941,0.3477,0.3908,0.2556,0.2872,0.3215,0.334,0.3459,0.3725,0.4192
mde7,0.0604,0.0975,0.0676,0.0933,0.0808,0.0789,0.0915,0.0754,0.0739,0.0781,0.0711
mdj1,2.4512,2.3826,3.0943,3.0791,3.0233,1.7434,1.5114,2.0744,2.5017,1.9526,2.3739
mdl1,1.1535,1.0304,1.1947,1.0549,1.0894,0.8987,0.8828,1.0283,1.1131,0.9984,1.126
mdm10,2.0951,1.8802,1.9424,2.0938,1.687,2.0939,2.7564,2.0775,1.8451,2.1465,2.0019
mdm12,0.6157,0.3493,0.411,0.306,0.5358,0.2609,0.2417,0.3308,0.6559,0.6366,0.4758
mdm28,2.7737,1.8628,2.293,2.1192,3.4135,3.7047,3.1111,2.1034,3.4678,2.7348,1.6425
mdm31,1.9601,1.7399,2.1631,1.7904,1.7727,2.2511,2.008,1.4413,1.8958,1.9732,1.8074
mdm34,1.3483,0.7249,1.6565,1.3751,2.6379,2.0972,1.5861,0.9566,1.2488,0.889,0.899
med11,1.1219,1.2911,0.9767,1.0744,0.7809,0.8569,1.0838,1.0676,1.1406,1.2548,1.0113
med13,0.1639,0.1608,0.157,0.1549,0.2959,0.2335,0.2149,0.1904,0.1895,0.1599,0.1501
med15,0.7057,0.8761,0.7346,0.9545,1.21,1.6368,1.4075,0.9192,0.7723,0.7701,0.7289
med20,2.6067,2.7538,2.2689,2.3514,1.6138,1.5314,1.9225,2.0139,2.2197,2.3585,2.5905
med31,3.8455,3.5426,3.2718,3.2054,2.7569,3.9575,5.1715,4.1261,3.8139,3.6707,3.2929
med7,0.4988,0.5329,0.4426,0.5467,0.4782,0.2204,0.2869,0.4132,0.5892,0.7032,0.7127
med8,1.2129,1.4076,1.2606,1.5168,1.2758,1.4076,1.5367,1.4519,1.2554,1.3404,1.2457
mei2,0.2694,0.1752,0.1475,0.1284,0.0675,0.079,0.171,0.1416,0.2653,0.2359,0.3106
mei3,0.0645,0.1338,0.0714,0.1755,0.1281,0.0678,0.0833,0.1102,0.0773,0.0928,0.0909
mei4,0.0912,0.1232,0.1275,0.1607,0.1569,0.0994,0.1107,0.1187,0.0908,0.0722,0.1113
mek1,0.1306,0.1817,0.1804,0.1463,0.216,0.1386,0.214,0.188,0.178,0.2106,0.1868
mel1,0.0602,0.2851,0.0881,0.3013,1.0782,1.5772,1.5383,1.4154,0.396,0.2357,0.1706
mep33,5.9072,4.7108,5.5705,4.825,4.9288,3.0373,3.2683,3.6708,4.7657,6.2841,6.666
mes1,1.1181,1.7026,0.9799,1.3737,1.214,0.7003,0.7641,1.4944,1.1106,1.3568,2.0727
met11,1.3438,1.0696,1.4502,1.1093,1.5147,1.1685,1.0497,0.9242,1.1264,0.8146,1.1132
met14,18.6126,16.5158,18.1946,16.6701,14.0204,8.8202,7.4686,11.6513,14.0081,16.9942,18.8353
met16,5.7461,5.5485,6.3535,6.239,6.3069,5.7192,5.227,5.1387,5.7659,7.1728,5.8697
met26,21.0816,20.7272,22.076,20.3299,21.994,17.0309,16.9892,21.065,22.218,19.6366,22.7129
met6,1.3749,1.0023,1.5568,1.1374,2.1257,1.6624,1.3405,0.8851,1.4302,1.2136,1.1497
met9,1.6992,1.8059,1.3757,1.4621,1.1467,0.6591,0.6169,0.9627,1.3429,1.3543,1.4916
meu1-1,0.0522,0.0861,0.039,0.0364,0.0434,0.0248,0.0634,0.0549,0.0596,0.0651,0.0545
meu1-2///meu1-1,0.2662,0.3323,0.2482,0.2877,0.2936,0.1465,0.2101,0.2349,0.2762,0.307,0.2944
meu10,0.0722,0.1646,0.064,0.1767,0.2744,0.1181,0.1606,0.186,0.1165,0.098,0.0902
meu13,0.091,0.066,0.0845,0.0747,0.0787,0.0615,0.138,0.1585,0.1581,0.1967,0.0907
meu14,0.2087,0.3109,0.2019,0.225,0.1859,0.128,0.2012,0.2313,0.2327,0.2955,0.312
meu15,0.086,0.0725,0.0805,0.0474,0.0407,0.045,0.0608,0.0509,0.0703,0.0857,0.1006
meu17,0.1019,0.0997,0.1157,0.0761,0.0742,0.0682,0.1065,0.0941,0.1078,0.1,0.0878
meu18,1.8608,1.3582,1.9477,1.7225,2.3758,1.8266,1.6488,0.9104,1.0008,1.2392,1.2086
meu22,0.0593,0.0579,0.0823,0.0563,0.0736,0.0522,0.0876,0.0794,0.0784,0.0553,0.0509
meu23,0.3347,0.4708,0.3619,0.4361,0.3079,0.2253,0.3092,0.4115,0.2802,0.3289,0.4411
meu25,0.2923,0.3085,0.2687,0.3071,0.2613,0.415,0.5965,0.8722,0.7296,0.7116,0.5714
meu26,0.0564,0.0674,0.0747,0.0744,0.0802,0.0743,0.0917,0.0538,0.0737,0.0556,0.041
meu27,0.0558,0.1263,0.0557,0.1242,0.0851,0.0469,0.0605,0.0866,0.0943,0.093,0.0838
meu29,4.6007,4.5679,2.7065,3.7929,2.4287,1.7839,2.2542,3.684,3.8207,5.0382,5.2325
meu31,0.2571,0.3793,0.2553,0.3049,0.2721,0.1717,0.2736,0.2948,0.2614,0.3074,0.3192
meu32,0.1028,0.1553,0.0871,0.1419,0.1518,0.0849,0.1272,0.177,0.1372,0.1782,0.0986
meu34,1.3299,1.4761,1.2819,1.3122,1.5216,1.3749,1.2535,1.2128,1.1909,1.358,1.2923
meu6,0.1187,0.1563,0.0848,0.1254,0.1698,0.0764,0.0821,0.0878,0.1188,0.1177,0.1888
meu7,0.3209,0.3588,0.3054,0.3177,0.2831,0.1611,0.1853,0.154,0.1957,0.2967,0.2356
meu8,0.3311,0.2812,0.2493,0.2788,0.4193,0.3199,0.3083,0.4043,0.4213,0.5053,0.4274
mex67,1.491,1.2489,0.9435,0.9394,1.0715,0.7361,0.8498,0.9393,1.0954,0.9524,1.3633
mfc1,0.1655,0.1491,0.1569,0.1542,0.2648,0.1822,0.2249,0.1206,0.1375,0.2015,0.0837
mfm1,0.0883,0.0731,0.0791,0.0645,0.0574,0.0532,0.0635,0.0739,0.0798,0.0844,0.1357
mfm2,2.5511,0.9642,2.1174,0.6319,0.1977,0.2828,0.5431,0.4845,1.0941,1.2384,0.971
mfm3,0.3408,0.2621,0.3954,0.2724,0.2755,0.2769,0.3181,0.2332,0.2473,0.3205,0.2977
mfr1,0.0514,0.0558,0.052,0.0572,0.0415,0.0558,0.0532,0.0501,0.0466,0.0647,0.0354
mfs2,1.2243,1.2319,2.7064,2.0816,2.9865,3.5916,3.5161,2.0984,1.3491,0.9408,0.9246
mft1,3.2051,2.7356,2.8188,2.5555,1.6837,2.0507,2.7996,2.4726,2.3243,2.6943,2.628
mge1,5.6768,8.262,4.9981,7.7353,5.1929,2.8087,3.2121,6.2976,5.4166,5.9264,7.7494
mgm101,2.0229,2.5263,2.1443,2.3758,2.4159,2.6977,2.6726,1.8167,1.4494,1.5258,2.0422
mgr2,7.6909,7.3821,7.2432,7.2304,6.3758,5.9536,6.7203,6.8703,7.0448,7.3637,7.3669
mhf1,1.5715,1.7599,1.2467,1.4456,1.1576,1.3562,1.5964,1.2651,1.5837,1.5216,1.2546
mhf2,3.1929,3.1251,2.599,2.7129,2.2029,2.5841,3.0236,3.6851,3.3698,3.4594,3.3957
mid1,1.5656,1.3299,1.476,1.475,1.6378,1.2975,1.1665,1.1824,1.3732,1.1878,1.3715
mid2,4.1189,3.9604,3.831,4.1366,4.4149,1.1994,0.8696,1.3218,2.3851,2.2167,3.512
mik1,0.1861,0.2011,0.1825,0.1836,0.1322,0.044,0.0819,0.1137,0.1763,0.1774,0.272
mim1,2.6119,3.3704,3.3072,3.6258,3.3225,4.586,4.4798,4.2699,3.114,3.1188,2.3756
mip1,2.2014,2.4652,2.0747,2.8673,3.0831,2.7123,2.7065,2.5311,2.0244,1.79,2.7738
mis12,2.3818,2.278,1.9119,1.8217,1.6057,2.0498,2.3863,2.2801,2.3038,2.3322,2.3588
mis13,0.7822,0.9259,0.6167,0.9024,0.8059,0.8709,0.9037,1.0919,0.7436,0.8734,1.1032
mis14,3.2652,2.2368,2.9007,1.8659,1.2133,1.6637,2.5556,2.0172,2.8266,2.6853,2.4088
mis15,0.8352,0.7834,0.6629,0.7053,0.6371,0.4614,0.5333,0.8186,0.7767,0.9304,1.0413
mis16,2.3342,2.3461,2.3063,2.181,1.5292,1.9908,2.1553,2.7146,2.3605,2.7697,3.4431
mis17,1.1857,0.8652,1.1373,0.8239,1.2665,0.9371,0.9132,0.4768,0.8474,0.9552,0.8459
mis18,0.2537,0.2263,0.1695,0.1782,0.2014,0.2086,0.222,0.1656,0.3248,0.2653,0.2168
mis3,8.602,8.5577,4.3457,3.8313,2.7213,2.645,3.5957,5.9045,6.1981,9.0056,9.4955
mis4,1.0389,1.1163,0.7677,0.8886,1.4578,0.8493,0.9626,0.8248,0.9442,0.9319,1.059
mis6,0.0627,0.0943,0.0428,0.072,0.0459,0.0424,0.0434,0.0507,0.0776,0.0602,0.0562
mit1,0.3627,0.3507,0.3679,0.367,0.4726,0.3582,0.3936,0.3191,0.3355,0.327,0.3385
mkh1,0.8121,1.0244,1.2312,1.2586,1.6969,1.4898,1.5154,1.1535,0.8348,0.7319,0.9354
mlh1,0.8017,0.8324,0.7369,0.8542,0.703,0.6908,0.669,0.6507,0.7099,0.7856,0.7817
mlo2,1.3522,1.2551,1.3298,1.2648,0.9667,1.3332,1.6253,1.7039,1.6999,1.6063,1.5491
mlo3,13.1509,13.8362,13.1109,14.797,13.5,12.3813,11.8577,12.4227,12.5015,13.2004,14.1151
mmd1,7.4843,7.2201,6.0925,6.5714,4.2865,2.3116,3.0468,5.8238,4.3309,7.1533,11.1388
mmf1,19.5228,21.2032,19.7934,23.1719,25.1605,28.1161,27.9166,30.226,28.6656,28.4515,25.1961
mmf2,0.5237,0.8677,0.5416,0.8713,0.9653,0.7086,0.6883,0.9405,0.7082,0.7866,0.7775
mmi1,0.674,0.5123,0.5441,0.5514,0.6999,0.4458,0.4477,0.6627,0.7208,0.5356,0.7737
mmm1,0.1211,0.1475,0.1815,0.1187,0.1769,0.2001,0.1803,0.1265,0.1561,0.1123,0.0473
mms1,2.2575,2.282,2.0611,1.9672,2.5476,1.7433,1.7465,1.8832,2.2169,1.7265,2.201
mms19,2.1908,2.447,1.9347,2.3697,2.5475,2.0513,1.9165,1.9229,2.1068,2.1227,2.3212
mms2,8.4483,8.1072,8.0479,7.9708,8.0952,8.6108,9.3892,9.3184,9.7449,9.1176,8.7169
mnh1,6.2327,5.2055,6.2959,4.8541,3.7332,5.1627,6.1443,5.2304,5.9159,6.1126,5.3681
mni1,1.059,1.1633,0.6889,0.792,0.4011,0.5654,0.8578,0.9403,1.2762,1.152,0.9295
mnl1,0.3709,0.4582,0.4356,0.5439,0.7243,0.4107,0.3787,0.3448,0.4063,0.3536,0.4524
mnn9,2.6619,2.3499,2.381,2.4252,2.6858,1.8716,1.5261,1.2423,2.4353,1.9771,1.907
mns1,1.8975,1.7407,1.4554,1.7183,2.1218,1.6413,1.4425,1.4311,1.8863,1.6311,1.69
moa1,0.035,0.0317,0.0283,0.0288,0.0222,0.0306,0.0387,0.0227,0.0382,0.0467,0.0197
mob1,0.6621,0.4737,0.7121,0.5176,0.6733,0.6868,0.5195,0.6785,0.8475,0.739,0.6651
mob2,0.6523,0.4655,0.5482,0.3967,0.7237,0.5797,0.538,0.3769,0.5844,0.596,0.3156
moc3,2.8004,1.9015,2.3897,1.8719,1.9819,1.9028,1.8182,1.6936,2.4019,2.0441,2.4502
mod21,1.4566,1.3051,1.3714,1.2208,1.0956,1.1707,1.0812,0.8605,1.3425,1.2858,1.1173
mod5,0.191,0.1915,0.1401,0.2173,0.3281,0.2079,0.199,0.1938,0.2877,0.1655,0.193
moe1,10.1079,10.5622,9.3203,9.2612,9.5825,6.4962,6.1021,7.5077,8.325,8.8831,10.5575
mog1,2.1503,2.1052,2.0359,1.8976,1.6735,2.416,3.0292,3.2848,2.443,2.3022,2.2927
mok11,0.9377,1.1155,0.8505,0.9322,1.2027,0.8819,0.8618,1.1135,0.8556,0.8745,1.1896
mok12,0.7519,0.7211,0.8651,0.7238,0.9719,0.7329,0.7135,0.6759,0.6094,0.544,0.7246
mok13,0.8367,0.6138,0.8004,0.679,1.0855,1.0194,1.2003,0.9085,0.7725,0.6013,0.7555
mok14,1.6567,1.9485,1.6946,1.7782,2.6929,2.4962,2.3625,2.1851,1.7544,1.4757,1.9551
mor2,1.5099,1.7841,1.2378,1.6494,1.9367,1.1764,1.0815,1.3458,1.1683,1.3628,1.6878
mot1,3.2321,3.1134,3.0883,2.3685,2.4227,1.8134,2.2753,2.2346,2.5777,3.14,3.4736
mot2,1.8264,1.5256,1.5893,1.6172,2.0202,1.6987,1.4695,1.637,1.7676,1.8854,2.1995
mpd2,2.7233,2.5998,2.3988,2.411,3.2239,1.7791,1.5883,1.6718,2.2471,2.0045,2.6441
mpf1,0.1289,0.1788,0.1074,0.1706,0.2034,0.1313,0.1366,0.1162,0.1729,0.1555,0.0799
mpg1,11.4146,8.9228,10.3018,8.0179,9.4942,7.5541,6.7448,8.1932,10.0757,9.4612,11.455
mph1,0.7807,0.6956,0.7291,0.6607,0.5977,0.489,0.4922,0.6459,0.5939,0.5839,0.8311
mpr1,0.2889,0.3364,0.4681,0.3669,0.944,1.224,0.7196,0.1981,0.3591,0.1785,0.1449
mra1,6.5722,6.7471,5.4903,6.4966,5.5143,3.5305,3.5041,6.1753,5.2113,7.3695,8.9149
mrc1,1.0119,1.1599,0.7461,0.8941,0.8254,0.697,0.7849,1.0679,1.0879,0.8964,1.2345
mrm2,0.2276,0.3534,0.1863,0.273,0.2137,0.1184,0.1763,0.3323,0.2659,0.2505,0.3157
mrp10,1.8597,3.0813,1.7902,3.0404,3.279,2.4828,2.4233,3.0011,3.1486,2.8611,2.4346
mrp17,0.4324,0.5622,0.3797,0.5091,0.4761,0.2881,0.3333,0.4941,0.3946,0.4613,0.5101
mrp2,8.0359,7.964,6.8851,6.914,6.1565,6.7381,7.4859,7.1566,6.9522,7.9657,7.6335
mrp20,1.8534,1.9047,1.7117,1.4493,1.2751,1.4269,1.7038,1.5882,1.3802,1.6914,1.7555
