,GSM1519986,GSM1519987,GSM1519988,GSM1519989,GSM1519990,GSM1519991,GSM1519992,GSM1519993,GSM1519994,GSM1519995,GSM1519996
srp1,5.6176,3.8516,5.0416,3.8833,3.8797,4.4355,4.0627,4.2308,4.8502,5.2309,6.0265
srp102,7.6955,7.3652,6.6603,6.8768,5.3599,6.13,6.9159,6.7582,7.9888,7.9616,7.1569
srp14,9.4423,10.0711,7.8264,8.9965,6.7556,5.7782,5.7859,7.4859,7.5627,9.966,9.0958
srp2,12.0807,12.8608,12.1315,11.1881,10.4791,8.2727,9.0379,11.2025,10.3261,10.0676,14.2393
srp54,3.5829,3.3773,3.0823,3.2207,3.5771,1.9929,1.8905,2.5315,2.9856,2.9126,3.4829
srp68,3.1502,2.6521,2.615,1.984,2.9591,2.3444,2.2931,1.4934,3.3291,3.2476,1.9493
srp72,3.4925,3.632,2.8621,3.3193,3.9936,3.1887,2.8675,2.3405,3.7635,3.7765,3.1642
srs2,0.7533,0.8539,0.7546,0.8223,0.865,0.6405,0.7227,0.6854,0.7092,0.6705,0.812
srw1,0.3119,0.2529,0.1964,0.2028,0.333,0.2059,0.2579,0.3101,0.287,0.2598,0.327
srx1,2.4973,21.5126,23.6261,20.8695,22.3643,25.6945,27.1871,18.3055,6.1183,2.3296,1.803
ssa1,1.6563,5.5358,11.8823,9.867,9.0383,6.9861,7.4316,5.8887,6.4249,2.8041,2.2869
ssa2,25.084,25.0917,25.6846,24.363,26.4228,22.4239,23.3252,25.0681,25.6739,21.5969,22.9416
ssb1,2.8788,2.5655,3.3635,3.1878,3.4712,2.5326,2.3075,2.2126,2.8839,2.2308,2.6809
ssb2,4.2773,5.3148,3.815,5.4362,4.5661,3.5412,3.6565,4.7714,4.1379,5.0697,5.3845
ssb3,0.6541,0.7409,0.4604,0.6352,0.5951,0.4641,0.5393,0.7859,0.9043,1.1179,0.7312
ssc1,18.2411,19.9007,19.2971,19.1066,20.0167,17.0181,16.1349,19.0581,19.594,17.7415,19.4009
ssl1,2.7012,2.3599,2.7446,2.353,2.9575,2.6915,2.5261,2.4937,2.5771,2.7854,3.0629
ssl3,2.7299,1.8324,2.2412,1.5175,1.6217,2.4534,2.7422,1.6435,3.1832,2.8749,2.2834
ssm4,0.086,0.1066,0.0816,0.1182,0.1607,0.0569,0.0945,0.0767,0.0728,0.088,0.0652
ssn6,1.0235,1.7267,0.785,1.1217,1.0333,0.3795,0.5607,1.0918,0.9027,0.8291,1.3237
ssp1,0.7759,0.7481,0.7265,0.6211,1.0895,0.966,0.7545,0.7832,0.8355,0.5656,0.6635
ssp2,1.07,0.9186,1.1514,1.0394,1.8827,1.6606,1.3652,0.8769,1.1779,0.7315,0.9663
ssr1,2.8403,2.004,3.1644,2.2873,2.95,2.4589,2.5198,1.6063,2.4719,1.7179,1.7493
ssr2,0.9008,0.9089,0.8896,0.979,1.0711,0.937,0.9803,0.6646,0.8833,0.8665,0.631
ssr3,3.6245,2.8628,3.2174,2.4227,2.3566,2.6029,3.0814,2.6527,3.6587,3.2942,3.131
ssr4,1.8697,1.841,1.7194,1.7153,1.9827,1.7332,1.8707,2.0441,2.1078,2.3255,2.0458
sss1,15.7408,15.5439,14.2223,14.6126,11.0462,10.6033,12.3934,12.8101,13.5262,15.3924,15.6806
sst2,0.7259,0.6673,1.0649,0.8691,1.1343,1.1505,1.206,0.784,0.7451,0.7103,0.8232
sst4,0.6422,0.7987,0.8034,0.8655,1.1894,1.0817,1.0178,0.8191,0.6947,0.4989,0.6644
sst6,0.6995,0.7201,0.9079,0.8158,1.0336,0.8775,1.2484,0.7613,0.7056,0.6243,0.6753
ssu72,1.5119,1.5519,1.1232,1.1728,0.7612,0.8481,0.8993,1.3142,1.1823,1.4775,1.6134
stc1,1.0879,0.7992,1.2995,0.8813,0.8164,0.9145,1.1841,0.7745,1.0638,0.8568,0.788
ste11,1.581,0.8915,0.7455,0.439,0.3913,0.6223,0.9401,1.3863,1.434,1.2603,1.478
ste13,2.9604,2.0246,2.9179,2.5888,4.3766,3.2744,2.4708,2.514,3.5061,2.7819,2.8796
ste20,1.638,1.429,1.6976,1.5635,2.1107,1.9617,1.6933,1.2563,1.5526,1.205,1.2919
ste4,0.8986,0.4987,0.9889,0.5062,0.3782,0.5588,0.7673,0.5122,0.6367,0.6637,0.5366
ste6,0.2786,0.3034,0.192,0.1815,0.16,0.124,0.1632,0.3093,0.3575,0.4095,0.5897
ste7,0.614,0.6197,0.4689,0.6062,0.574,0.4214,0.4895,0.835,0.6596,0.7129,0.9532
stg1,4.3462,4.0171,5.6685,5.4686,5.1965,7.7744,8.5104,5.1497,5.0084,4.4909,3.9107
sti1,12.4435,12.2293,13.313,11.6228,11.0127,7.162,7.2964,10.1588,11.6356,7.0731,9.5553
stm1,6.7254,7.2627,6.5401,9.7927,11.3269,11.1823,9.3225,10.4111,8.8718,10.179,9.7332
stn1,1.2794,1.3109,1.3525,1.3216,1.4918,3.2533,3.6336,2.2321,1.6221,1.7163,1.3574
stp1,5.3647,4.8636,4.8577,4.8787,4.0758,3.5245,3.8297,4.5267,5.336,6.4162,5.7444
str1,7.9592,3.7622,9.6536,4.8344,4.4456,7.936,7.6258,2.0428,2.4593,2.4843,3.7212
str2,0.6715,0.5569,0.6889,0.5475,0.9544,0.8383,0.804,0.5928,0.6112,0.4197,0.5564
str3,0.9723,0.3188,0.522,0.4301,0.7347,1.3109,1.9082,0.3924,0.2465,0.166,0.397
sts1,4.1962,4.2758,4.288,4.0383,4.9258,5.9381,5.0884,3.3098,4.6868,4.7201,3.0542
sts5,0.5088,0.2565,0.5403,0.3421,0.6436,0.8105,0.5675,0.3517,0.4988,0.4461,0.4529
stt3,6.2063,7.5089,6.2205,6.708,6.8089,5.9155,5.364,5.4433,6.432,5.3282,6.292
stt4,2.4043,2.5359,2.151,2.2664,2.9937,2.5799,2.3388,2.8422,2.4553,1.9852,2.7624
sty1,4.956,4.9056,5.6181,6.3305,7.994,5.7959,5.214,3.0898,4.2881,4.6451,3.6329
sua1,14.4882,15.3397,14.0043,12.8009,10.3478,6.0082,7.2255,13.2766,17.0577,17.8037,18.787
sub1,1.832,2.4124,1.4117,1.9249,1.3755,1.363,1.6004,1.4324,1.5739,1.5677,1.4991
suc1,4.7264,4.4424,3.651,3.717,2.7575,2.6005,3.1734,3.6353,3.9391,4.8348,4.3203
suc22,12.9783,13.3354,12.1002,13.4285,16.0914,18.4841,18.3357,16.9535,17.2361,15.542,15.3145
sui1,19.5391,21.2974,17.1897,19.0547,18.2989,19.6428,20.2313,17.5756,18.7085,19.6449,19.2609
sum1,17.9746,18.8248,17.1771,17.6367,16.5917,11.7459,12.7063,15.8409,16.0111,17.4525,19.639
sum2,2.9288,2.7757,2.4461,2.4458,3.095,2.6375,2.6243,2.3152,2.9189,1.9697,2.4707
sum3,8.0027,7.9022,6.776,5.4763,3.2128,2.4211,2.6997,4.9045,5.3056,6.6307,10.4829
sup35,8.6842,7.8727,8.0849,7.1988,6.7875,5.0079,4.6778,5.9326,7.0199,6.463,9.6105
sup45,9.1209,7.8125,7.3094,5.6785,4.2288,4.4722,4.6098,5.0972,8.4024,9.8444,8.4659
sur2,3.5548,2.9207,3.5352,5.309,7.9227,4.7997,4.2743,5.2509,4.797,3.8623,4.3783
sus1,3.0163,2.9209,2.8411,2.4821,1.5939,1.5977,2.0334,1.9283,2.2916,2.7633,2.8845
sut1,1.2495,1.4257,2.9154,2.4065,3.4508,4.3336,3.7892,1.6448,1.2952,0.8364,0.7931
swc2,1.0418,0.9169,0.6542,0.5806,0.4822,0.3823,0.627,0.8123,0.7116,0.9543,1.3206
swc3,1.5621,1.5396,1.4781,1.247,1.4976,1.2528,1.4576,1.3689,1.4521,1.3434,1.6618
swc4,2.0824,1.9236,1.9844,1.8974,1.9559,1.7047,1.6544,1.8992,1.935,2.2485,2.1835
swc5,2.0647,0.9023,1.6603,0.859,0.8289,1.3901,1.6257,1.2879,1.702,1.5764,1.3607
swd1,2.3505,2.5182,2.1528,2.3824,2.2747,1.341,1.3301,2.0406,1.7492,2.1535,2.5949
swd2,1.6388,1.3682,1.4105,1.2518,1.2107,1.0601,1.165,1.7245,1.7154,1.9676,2.0271
swd3,0.2195,0.2549,0.176,0.2088,0.348,0.2095,0.2079,0.2053,0.2634,0.2038,0.1534
swf1,2.5183,1.6337,2.5719,1.949,2.3292,2.2544,2.1345,2.0551,2.5477,2.92,2.4774
swi1,1.0063,1.0026,0.7722,0.8451,0.765,0.7313,0.7756,0.7568,0.9018,0.8086,0.9124
swi10,1.6881,1.9836,1.7018,1.9647,1.6738,1.3351,1.4321,1.8818,1.5248,1.8371,2.1998
swi2,1.3129,1.1196,1.4894,1.3271,1.476,1.525,1.62,1.3626,1.4047,1.1882,1.3097
swi3,2.3983,2.0965,2.8116,2.615,2.3165,2.6431,2.7017,2.3881,2.5843,2.6514,2.5294
swi5,2.9068,3.4935,2.2626,3.0556,3.0394,3.5286,3.8104,2.8663,3.4344,3.2678,2.4646
swi6,1.9664,1.7791,1.8795,2.0995,2.0342,1.7959,1.8297,1.8775,1.7867,1.9775,2.1544
swp1,9.2046,12.0606,8.2435,12.4167,12.457,8.8309,7.812,12.0543,8.9468,10.7379,12.2194
swr1,1.6304,1.4867,1.7908,1.6953,1.9767,1.5492,1.5552,1.4294,1.3184,1.3621,1.7201
sws1,2.707,2.8145,2.3204,2.5446,2.246,2.0364,2.359,2.8973,3.0006,3.3207,3.1607
sxa1,5.3652,5.7015,6.4607,6.4902,6.9856,7.0636,5.5146,5.0984,5.5193,4.1203,4.5731
sxa2,0.49,0.3877,0.3233,0.362,0.5885,0.4604,0.5482,0.5802,0.6224,0.5273,0.6112
syb1,6.1035,6.337,5.5444,7.0413,6.1046,4.5329,5.0285,8.1429,6.3613,7.398,8.2579
syf2,0.135,0.1267,0.1353,0.1332,0.1865,0.1247,0.124,0.0855,0.1266,0.0993,0.0838
syj1,1.4486,1.4596,1.1978,1.3352,1.403,0.9369,1.0628,1.5489,1.1821,0.9212,1.8402
syj2,1.0999,1.2532,1.7015,1.8602,2.6648,2.9269,2.6122,1.3401,1.2131,1.0191,0.8872
syn1,1.8167,1.679,1.7769,2.2452,3.576,3.2062,3.2182,3.4247,2.6565,1.6758,2.4349
syp1,2.3653,2.2773,2.4358,2.4444,2.8927,2.2965,2.1873,2.2815,2.3741,1.9202,2.6282
tad2,1.9298,1.1627,1.6578,1.1437,1.1541,1.2501,1.3033,1.1405,1.5084,1.759,1.7171
tad3,3.7904,3.5167,3.0914,2.8015,2.0841,2.025,2.3753,2.7198,3.1887,3.6521,3.4593
tae1,3.5981,3.7332,3.2094,3.4015,2.5373,1.832,2.0802,2.6617,2.5775,3.755,3.9739
taf1,0.5886,0.5786,0.5573,0.5771,0.7237,0.6016,0.6219,0.7009,0.7141,0.5298,0.6135
taf10,4.7735,5.0045,4.6987,5.5112,4.4192,4.1972,4.4755,5.5393,4.7385,5.1264,5.7765
taf11,2.6009,3.0476,3.3498,3.3991,2.951,2.6553,3.2066,2.7745,2.4622,2.8195,2.4893
taf111,1.7349,1.5855,1.7259,1.5843,1.8572,2.0068,1.9833,1.4224,1.5728,1.3271,1.3686
taf12,0.6822,0.5027,0.5984,0.5465,0.5052,0.5066,0.444,0.3545,0.7331,0.477,0.51
taf13,2.9758,3.3357,2.6911,2.9633,2.1041,2.0379,2.4257,2.1821,2.4573,2.6958,2.6428
taf2,1.0728,1.2516,0.9516,1.0528,1.4222,1.0115,1.0421,1.0833,1.0216,0.7603,1.0079
taf3,0.1591,0.1255,0.1079,0.1247,0.1816,0.1452,0.1764,0.1432,0.2128,0.1882,0.0999
