,GSM12087,GSM12094,GSM12183,GSM12184,GSM12185,GSM12186,GSM12187,GSM12188,GSM12189,GSM12190
BAMBI,1.6983291,1.6983291,1.3405796,1.0664136,1.5815669,1.6896552,1.7970123,1.9125476,1.1321888,1.2136617
BANF1,36.05805,36.05805,35.33786,39.702087,37.028572,34.850273,30.972757,36.86312,30.351072,28.505163
BAP1,1.3711522,1.3711522,1.6385869,1.9487666,0.6165899,0.50544465,2.1133568,1.2528518,1.0283262,0.82208097
BARD1,13.301672,13.301672,9.919383,8.246679,10.396314,11.615246,11.195957,15.806086,13.234335,13.173947
BARX2,1.0457344,1.0457344,0.932971,1.1261859,0.9023042,0.70961887,0.6309315,1.0855514,1.1519313,1.7331215
BASP1,0.490765188,0.490765188,0.264039845,0.455882365,0.31198156,0.393829398,0.496045715,0.5727187075,0.357510741,0.536139765
BAT2,12.019349,12.019349,13.432065,11.437382,10.647926,11.440109,14.155536,13.328897,12.257511,13.494042
BAT2L1,8.817942,8.817942,8.815217,9.573055,10.564978,9.676951,8.307557,10.26521,8.772532,7.67355
BAT2L2,3.2418648,3.2418648,3.2459238,3.2722962,3.92995375,3.8303088,3.424868,3.9268064,3.16995715,3.17196165
BAT3,8.367635,8.367635,8.448369,12.362429,8.820276,10.668784,11.623022,11.245248,11.31588,7.5869737
BATF,0.14687777,0.14687777,0.1259058,0.2808349,0.3253456,0.14156081,0.39279437,0.24619773,0.19227467,0.25575855
BAX,1.448900672,1.448900672,1.809782576,2.164136652,2.560368674,2.7379311,3.09736388,2.4222435,3.03193132,2.48737086
BAZ1A,1.8918207,1.8918207,1.8242753,2.3557875,2.391705,2.4228675,2.4244287,2.4762359,1.5313305,1.7410643
BAZ1B,5.162709,5.162709,5.5724635,5.3235292,4.299539,5.1833034,4.2662563,5.0798483,3.8824034,4.46386
BAZ2A,4.2620935,4.2620935,2.6757245,4.1034155,3.3880184,5.088022,4.833919,3.531369,3.8334765,2.335981
BAZ2B,1.4670186,1.4670186,1.0688405,1.2580646,1.3548387,1.3384756,1.724956,1.2604564,1.2858369,0.9015091
BBC3,3.9533863,3.9533863,6.6259055,9.826375,6.208295,4.399274,5.465729,3.941065,6.5690985,4.8435264
BBOX1,0.24186456,0.24186456,0.04619565,0.25237194,0.062672816,0.03629764,0.077328645,0.075095065,0.2858369,0.07783955
