GSM476081,GSM476082,GSM476083,GSM476084,GSM476085,GSM476086,GSM476087,GSM476088,GSM476089,GSM476090,GSM476091,GSM476092,GSM476093,GSM476094,GSM476095,GSM476096
13.5487076,13.35284098,13.54971157,13.46554621,14.59930157,14.74110569,14.63121115,14.76608952,14.27587595,14.39544202,14.45554419,14.312733,14.62733019,14.67740041,14.63442094,14.70840479
13.89585541,14.02482328,13.96095764,13.96459994,14.05412757,14.19093122,14.21126877,14.22193286,13.42224043,13.37367524,13.53480558,13.4313537,14.24268102,14.32406824,14.35623833,14.34038896
13.67420159,13.69437502,13.69053325,13.70685278,14.09670049,14.15004362,14.05815003,14.01171688,14.1750393,14.10324157,14.16868969,14.22654927,13.86573054,13.79548516,13.82508355,13.73575036
14.38230985,14.56397277,14.83045478,14.51029449,11.71584102,12.36611245,12.15158106,12.25551747,13.85221542,13.31287646,14.45410503,13.9791129,13.04834931,13.58513669,13.89320284,13.65025631
10.00954617,9.904667627,9.823337066,9.976139019,11.01259482,11.31716943,11.10591228,11.34708105,10.79386235,10.45949418,10.18515649,10.54225973,11.09345939,11.19215162,10.88713883,11.08281148
13.9332641,13.93305687,14.0256792,13.94582438,14.58591006,14.79731753,14.65118682,14.72503413,14.26819956,14.23225096,14.23970345,14.20934201,14.56622399,14.57663064,14.48754404,14.55281286
9.615355234,9.377331555,9.451074847,9.56776935,10.64453129,10.57948464,10.66264504,10.5019612,9.543631503,9.888660947,9.84855413,9.757747248,10.60007564,10.61066672,10.58747047,10.49657792
10.46659646,10.27380806,10.24334573,10.34952901,11.33275869,11.83200249,11.64918553,12.08813811,11.69912921,11.98553769,11.58453382,11.85602249,11.5287088,11.62467101,11.61238739,11.69153787
13.295233,13.09632084,13.24520986,13.30783323,12.52183912,12.96527221,12.96358636,13.11665882,13.05827387,12.87793298,12.95470883,13.16028661,12.91248667,13.20385372,12.97919705,13.58894034
12.02679413,12.30345135,12.07915932,12.31566085,13.08292301,13.2211253,13.23792768,13.09551234,13.20358775,13.13360534,13.22626298,13.28558945,13.06017964,13.04561974,13.23222718,12.96122021
13.25767864,13.14639937,13.0324973,13.15376598,14.70500923,14.75880538,14.67573801,14.79923284,13.45847112,13.44688135,13.27797071,13.31874278,14.25331007,14.09920544,13.8735577,13.96246033
13.69160021,13.84214192,13.73332064,13.89238224,13.26325767,13.56329349,13.46489692,13.50305091,13.73879066,13.49171248,13.62403785,13.60828082,13.92956773,14.12394463,13.96229968,14.10263133
15.33171972,15.41998865,15.31723848,15.3514925,15.45725352,15.53041843,15.50073637,15.56063348,15.75486275,15.74645854,15.62668284,15.69672868,15.46056491,15.48595933,15.40792831,15.48923399
11.5436282,11.4633645,11.44103569,11.64400689,13.44896281,13.78795347,13.50839364,13.86954023,13.22687556,13.24553339,13.26026531,13.27382498,13.7175259,13.76429522,13.74230219,13.89718358
13.6396868,13.90710262,13.64371279,13.81663164,13.11487338,13.25734529,13.14764848,13.15240065,13.56491296,13.43831214,13.45789223,13.67614234,13.32427079,13.49606263,13.41093438,13.50314769
10.29005137,10.64982007,10.08733822,10.39718744,10.21302666,10.10541142,10.22166069,9.719797579,9.874695394,9.851623425,9.915070269,9.916225254,10.15217267,10.27975411,10.45439551,10.13624666
11.96498491,12.14196445,12.08967299,11.95367269,11.74465979,11.6716574,11.72948182,11.61977884,11.84309427,11.84518924,11.791951,11.75260744,11.98038713,11.95139378,11.7367866,11.7197949
12.7784788,12.91035898,12.90402794,12.8638663,11.85009883,12.06793442,12.03284609,12.05152421,12.81750349,12.5731318,12.68033791,12.5408663,12.25286898,12.31896205,12.14520173,12.20350701
12.71233204,12.77950881,12.68404172,12.65744327,12.75664152,13.12165564,12.88552533,13.11283247,12.83822424,12.80631271,12.87982092,12.89967088,12.6580374,12.65685272,12.68873535,12.6101867
13.82780627,13.93284682,13.82555691,13.95096724,13.27075666,13.56902822,13.46448959,13.45306074,13.75919403,13.61514711,13.71781378,13.75368353,13.57722374,13.74403677,13.94491766,13.6159916
8.258275456,8.799071448,8.095992754,8.566709059,8.579484815,8.842313191,8.378338616,8.570351432,9.195492223,9.284801721,9.063403909,8.939268652,7.850774438,8.175860529,7.986034462,7.990622761
11.01360746,11.21258322,11.05544857,10.99678717,10.09876413,10.44866946,10.28609719,10.20168824,10.8352588,10.5452506,10.9059272,10.81819958,10.72203243,10.88310661,10.84742442,10.6700593
11.81730797,12.05059081,11.88754316,11.86073209,11.36755083,11.59852899,11.25567753,11.20115835,11.59645844,11.63289602,11.669326,11.55185668,11.50525382,11.5778769,11.8080321,11.49855297
14.28788398,14.3453496,14.25127658,14.38608212,13.38078196,13.7633458,13.58603379,13.53437537,14.29096374,14.1295125,14.2137261,14.15309992,13.57246844,13.7574216,13.80689803,13.58093203
13.72896673,13.66329874,13.65617142,13.72992335,14.51830938,14.74640631,14.56538984,14.89311056,14.4949997,14.43817131,14.34179283,14.56742238,14.94894159,15.1037868,15.06453506,15.13421254
